Date,Site,Site_ID,Diver,Mode,Transect,Depth_m,Time_Start,Species,Common,Length_cm,Estimate,Notes
23/07/2014,Lower_Choked,LC,RW,SCUBA,1,2.6,9:31:00AM,Hexagrammos_decagrammus,Kelp_Greenling,28,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,1,2.6,9:31:00AM,Sebastes_maliger,Quillback,20,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Hexagrammos_decagrammus,Kelp_Greenling,26,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Hexagrammos_decagrammus,Kelp_Greenling,20,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Sebastes_maliger,Quillback,14,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Cymatogaster_aggregata,Shiner_perch,10,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Cymatogaster_aggregata,Shiner_perch,8,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Cymatogaster_aggregata,Shiner_perch,10,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,2,3.6,10:08:00AM,Cymatogaster_aggregata,Shiner_perch,9,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,3,3.2,10:21:00AM,Sebastes_maliger,Quillback,16,1,
23/07/2014,Lower_Choked,LC,RW,SCUBA,3,3.2,10:21:00AM,Paralichthyidae,Sanddab,7,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Embiotocidae,Perch,15,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,1,3.2,11:00:00AM,Aulorhynchus_flavidus,Tubesnout,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,2,3.2,11:00:00AM,Embiotocidae,Perch,10,1,
23/07/2014,Lower_Choked,LC,MHL,Snorkel,3,3.2,11:00:00AM,Hexagrammos_decagrammus,Kelp_Greenling,40,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Cymatogaster_aggregata,Shiner_perch,10,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Cymatogaster_aggregata,Shiner_perch,12,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Cymatogaster_aggregata,Shiner_perch,12,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Cymatogaster_aggregata,Shiner_perch,10,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Cymatogaster_aggregata,Shiner_perch,12,1,
25/07/2014,Lower_Choked,LC,RW,SCUBA,1,3.8,11:42:00AM,Sebastes_melanops,Black_rockfish,14,1,
